fecha_estimacion,fecha,nuevos_mu_10,nuevos_mu_50,nuevos_mu_90,acum_mu_10,acum_mu_50,acum_mu_90,nuevos_obs_10,nuevos_obs_50,nuevos_obs_90,acum_obs_10,acum_obs_50,acum_obs_90
2020-11-27,2020-04-11,734.0065255146224,769.7895207350293,805.7482415722591,9863.803796706343,10291.438287808069,10709.947039624949,597,763,912,9620,10284,10824
2020-11-27,2020-04-12,787.2856266119132,825.2236869684258,868.6959304870879,10670.84913105242,11113.622883156131,11565.915622773524,643,816,972,10536,11106,11799
2020-11-27,2020-04-13,837.0035730969256,884.8005457513345,930.6079760322865,11509.30038852178,11999.866995557128,12460.39516567063,703,879,1062,11309,11998,12637
2020-11-27,2020-04-14,894.722929571381,948.3331612813371,1002.2977696415229,12394.993470876814,12949.298036730186,13411.225401493866,734,944,1122,12180,12945,13609
2020-11-27,2020-04-15,957.4742901319324,1017.0859617564932,1081.8596822144048,13405.799255049878,13970.149731564736,14485.086409879847,794,1004,1205,13208,13955,14738
2020-11-27,2020-04-16,1016.3754989714113,1090.3222581490631,1159.0774113251389,14452.117069254564,15057.199681542981,15612.993271665873,846,1076,1293,14233,15042.5,15864
2020-11-27,2020-04-17,1083.1584853403847,1168.7296087791467,1247.3397226756745,15561.314819466792,16223.395932695365,16831.67684686434,921,1162.5,1405,15249,16214,17028
2020-11-27,2020-04-18,1162.6143383904155,1253.5654654336513,1350.4289587791634,16728.444695736634,17478.771964795495,18126.16592368573,972,1240,1503,16494,17482,18419
2020-11-27,2020-04-19,1236.784083729311,1343.990220150773,1451.6572786285376,17961.936354177822,18816.861022589503,19508.75063649159,1037,1336,1607,17756,18829.5,19855
2020-11-27,2020-04-20,1312.7802351907742,1441.8927088447986,1558.2624058369217,19322.260644168175,20253.55169026465,21059.712238863038,1128,1419,1745,19038,20246,21395
2020-11-27,2020-04-21,1413.950981815161,1545.6330469395057,1692.171262065988,20796.404774910836,21791.679855346647,22755.390101817546,1141,1531,1807,20492,21776,23079
2020-11-27,2020-04-22,1509.010979169354,1656.932432493299,1824.4334927005002,22365.318916140728,23454.54621777338,24595.044664040768,1252,1636,1964,21926,23428.5,24825
2020-11-27,2020-04-23,1609.294870176597,1776.6599267254821,1966.5952806518005,23913.243844489898,25233.976178328776,26453.230436292743,1312,1756,2076,23635,25206,26794
2020-11-27,2020-04-24,1713.7389064787908,1905.078025539996,2116.777117322415,25622.787162960212,27129.97083337809,28517.943351404418,1464,1895.5,2310,25238,27110.5,28792
2020-11-27,2020-04-25,1825.5323365427248,2042.321389585579,2279.479286905944,27507.020063090247,29174.0972060504,30835.828247462763,1542,2017,2433,27174,29155,31148
