date,mean,median,lower_90,upper_90,lower_50,upper_50,estado,fecha_estimado
2020-04-28,1.2369830356866642,1.1970054883725794,0.8368138504023119,1.7171014432105156,1.037317956181629,1.3218455514958385,Colima,2020-06-30
2020-04-29,1.235082385658917,1.1954923538545654,0.8243487635985459,1.7011329143046503,1.018855604697669,1.3022746353296095,Colima,2020-06-30
2020-04-30,1.2339785351157142,1.1940348120625797,0.7790329362568837,1.6489126122773226,1.0088293920454234,1.2909260947011478,Colima,2020-06-30
2020-05-01,1.232833639429478,1.1965596493263877,0.8262739245055658,1.6795061336191046,1.0162606048172087,1.298192487998352,Colima,2020-06-30
2020-05-02,1.2293591834827111,1.1957468389970547,0.8304861418057353,1.6826956778454405,1.0099398446776109,1.2914875743509435,Colima,2020-06-30
2020-05-03,1.230048268595538,1.1945743401967253,0.829236395166517,1.672135048790144,1.0287201030739557,1.3055181655372525,Colima,2020-06-30
2020-05-04,1.2272315517056236,1.1904908135426202,0.8133503122762535,1.645652297139804,1.024487743902259,1.2966294940859007,Colima,2020-06-30
2020-05-05,1.223383623374593,1.1878463697552957,0.8158369546186799,1.6361958637877185,1.016269429071002,1.2864578211779296,Colima,2020-06-30
2020-05-06,1.2209077942698146,1.1877157039009099,0.8580215924191821,1.6881013013634447,1.0091221207103531,1.278601363284385,Colima,2020-06-30
2020-05-07,1.2184266985439722,1.1837423349762495,0.8517328185732682,1.6727268671851483,1.0182873897997482,1.2903533564832574,Colima,2020-06-30
2020-05-08,1.2134380175275117,1.1824029338685966,0.8433778805239374,1.6639510615296746,1.0257567375393302,1.2919804182017414,Colima,2020-06-30
2020-05-09,1.2093126947178245,1.176894225601465,0.8347434092204292,1.6355068468699419,1.004443797572963,1.2710267504508164,Colima,2020-06-30
2020-05-10,1.2074364826748432,1.1777872803640062,0.8401831357701077,1.628022604430641,1.0025358391519397,1.2635303765090309,Colima,2020-06-30
2020-05-11,1.2059166743155372,1.1796099183694475,0.8246345697459593,1.613695591301804,1.002640975373703,1.2615743372394064,Colima,2020-06-30
2020-05-12,1.2017403440864736,1.1750682922467415,0.8648575893889012,1.6477786337823093,1.0097804668041923,1.2629009180797819,Colima,2020-06-30
2020-05-13,1.197723780060321,1.1726521748755827,0.8289258437933051,1.6116926254784376,1.0078550965506863,1.2578848763979955,Colima,2020-06-30
2020-05-14,1.194754927909719,1.1706821357765707,0.8373337936883827,1.6129852776396127,1.0413765225056986,1.2925387600567604,Colima,2020-06-30
2020-05-15,1.1937119141263648,1.1717517017113037,0.7958984464996312,1.5581441442969213,1.019742995719403,1.2692559779763106,Colima,2020-06-30
2020-05-16,1.193131896058314,1.1710521854795202,0.8157109132496357,1.5697390264357514,1.0004992729650934,1.2558395758632315,Colima,2020-06-30
2020-05-17,1.1925673225541258,1.1692921858458438,0.8123821527463737,1.5641968543942906,1.002477935146978,1.2553667194500886,Colima,2020-06-30
2020-05-18,1.1937172663726585,1.1645650255404254,0.8131420542364891,1.564341057409132,1.0033395797735096,1.2571151453970817,Colima,2020-06-30
2020-05-19,1.1937368300451647,1.1672621089807727,0.8176039159961629,1.5672011749670638,1.025434584514006,1.2756305781851767,Colima,2020-06-30
2020-05-20,1.1924279495291703,1.1659984871165927,0.8570879893501521,1.608455199689348,1.0124683352581676,1.2602521174353334,Colima,2020-06-30
2020-05-21,1.189368692715271,1.1636616663048285,0.802360951090935,1.5512198539100432,1.0062588885988024,1.2515984355490715,Colima,2020-06-30
2020-05-22,1.18931698148901,1.1650973789817076,0.8540406873194081,1.5884875115485997,0.9953045733341098,1.2433118730925687,Colima,2020-06-30
2020-05-23,1.1870560684136224,1.1625089123546526,0.8256071393811727,1.5457368475847135,1.009873344757667,1.2585656755623333,Colima,2020-06-30
2020-05-24,1.1840421725454326,1.1592993564325107,0.842798070625632,1.557163117485289,0.9964687304236796,1.2420548408771201,Colima,2020-06-30
2020-05-25,1.1815417213239192,1.1565701733791205,0.8568799837687879,1.5630286323136424,1.0171403005201975,1.2587092155195054,Colima,2020-06-30
2020-05-26,1.180580087013061,1.1554474424986028,0.8767242920679139,1.5653764520310518,1.0036665202197033,1.2455767509041455,Colima,2020-06-30
2020-05-27,1.1798788647081158,1.1552327297430502,0.8724391066802861,1.5663855652156555,0.9997064225734634,1.2391162631483608,Colima,2020-06-30
2020-05-28,1.1781073097470696,1.1506531708353487,0.8290914509276748,1.5232573933508333,1.0236284908908317,1.2562879815958519,Colima,2020-06-30
2020-05-29,1.175406810072255,1.1509204585809116,0.8547584111484253,1.5549998456004055,1.002502905632475,1.2380276779907131,Colima,2020-06-30
2020-05-30,1.174105368588598,1.1481359836247753,0.8501244274862256,1.5439042568152093,0.9994469031383503,1.2384380090320803,Colima,2020-06-30
2020-05-31,1.173153817553349,1.1484438360881972,0.868343709191309,1.5653778546364436,0.9963851440484975,1.2323504465961614,Colima,2020-06-30
2020-06-01,1.1727018814970995,1.147100958920939,0.8464107533347544,1.5360895260362681,0.988079021756557,1.2220387764449177,Colima,2020-06-30
2020-06-02,1.171696250062942,1.1464873284059611,0.8601270028007875,1.5547315802626798,0.9872567317383287,1.2242123021514897,Colima,2020-06-30
2020-06-03,1.1688913027435481,1.1435226700897747,0.831873550437553,1.5305024242477336,1.0010832287561757,1.2352000096679687,Colima,2020-06-30
2020-06-04,1.167208096754313,1.1432834187121705,0.8228207973602508,1.5267676574495264,1.0034957148151773,1.241826079471186,Colima,2020-06-30
2020-06-05,1.1692143118490705,1.1478162724610192,0.8495037888695744,1.554357932559344,1.0088736698134948,1.2500759999206168,Colima,2020-06-30
2020-06-06,1.1676113425696049,1.1449663499149731,0.8478808214984895,1.5622578738607469,1.0244647316903435,1.268089367345683,Colima,2020-06-30
2020-06-07,1.1671518683946578,1.146277463947651,0.7997695628428196,1.5192512355692485,0.992130004686052,1.233158801538544,Colima,2020-06-30
2020-06-08,1.1670632821752103,1.145976260315746,0.800661027635204,1.5185774910806427,1.0055496875995218,1.2481364557056625,Colima,2020-06-30
2020-06-09,1.1649783724068516,1.1455446085224739,0.8226897337270974,1.5377249919545875,0.9967813329732835,1.2432205875478286,Colima,2020-06-30
2020-06-10,1.163378922446099,1.1434217269676097,0.7862763206954755,1.5162718177879273,1.0196871405510435,1.2666833351339368,Colima,2020-06-30
2020-06-11,1.1614858551900589,1.1426393031572364,0.8295109377091471,1.5571205416094105,1.009653880264851,1.2586172142533396,Colima,2020-06-30
2020-06-12,1.1607173361218417,1.1398008621534488,0.820464898956089,1.5621506960335707,1.008779049046888,1.2606508288921916,Colima,2020-06-30
2020-06-13,1.1589269960895416,1.1385269301637586,0.7928939681872855,1.5352688245344202,1.000273905527354,1.2557277826961992,Colima,2020-06-30
2020-06-14,1.1569564672007708,1.1351723995023084,0.7757885040139375,1.518003327205554,0.9973403410033251,1.2546213915642699,Colima,2020-06-30
