fecha_estimacion,fecha,nuevos_mu_10,nuevos_mu_50,nuevos_mu_90,acum_mu_10,acum_mu_50,acum_mu_90,nuevos_obs_10,nuevos_obs_50,nuevos_obs_90,acum_obs_10,acum_obs_50,acum_obs_90
2021-02-10,2020-09-06,4618.762270420602,4800.8192451718905,4995.382805981126,679209.9011589166,685732.1565874369,691794.763408738,3739,4756,5662,589808,681454,773991
2021-02-10,2020-09-07,4569.707465940715,4742.182510448347,4963.437563896509,683547.728459167,690469.4629788268,696261.3523951586,3754,4710,5600,593177,686337,777599
2021-02-10,2020-09-08,4488.947931266313,4685.751360957844,4905.816229664771,688261.1222616835,695131.2058763925,701128.5757467698,3729,4650,5572,598005,691007.5,782236
2021-02-10,2020-09-09,4413.586854512083,4628.6145189790295,4852.519999600702,693439.182699444,699778.5531042618,706407.4547333651,3619,4619.5,5477,603593,695543.5,787251
2021-02-10,2020-09-10,4365.192365860723,4573.891037301927,4830.8804647351935,697976.1406696187,704363.847652755,711058.8576599752,3609,4546,5407,607986,700192,791932
2021-02-10,2020-09-11,4299.902346892208,4520.430889477526,4793.867063060987,702135.940147217,708858.2447693439,715362.2200110896,3544,4481,5339,612574,704788.5,796481
2021-02-10,2020-09-12,4197.723806041604,4466.132452949362,4721.6038199303675,706389.8133771995,713348.6945972247,719812.5193089802,3497,4436,5322,615968,709185,800127
2021-02-10,2020-09-13,4139.960808296472,4413.257043985785,4694.333283173136,711243.1702026902,717799.1142016937,724798.373531723,3450,4392,5246,620900,713648,804875
2021-02-10,2020-09-14,4145.568026472695,4406.107809265093,4677.546391247815,715852.6512631,722236.9502465718,729562.9330892109,3399,4366.5,5193,626616,718070,810930
2021-02-10,2020-09-15,4205.603044165737,4451.922837126341,4662.332428763647,719852.7664535332,726732.4550768093,733726.8205375429,3443,4409,5216,630477,722500,814656
