fecha_estimacion,fecha,nuevos_mu_10,nuevos_mu_50,nuevos_mu_90,acum_mu_10,acum_mu_50,acum_mu_90,nuevos_obs_10,nuevos_obs_50,nuevos_obs_90,acum_obs_10,acum_obs_50,acum_obs_90
2020-11-28,2020-05-08,28610.17833868666,30501.15530190176,32476.195369566612,745965.1265055574,781212.3803166016,823382.8951758032,21008,29883,39175,731692,780916.5,837359
2020-11-28,2020-05-09,29387.12003135858,31228.1878660679,33435.3353517182,774164.7569911584,812350.0264737718,853813.0958264177,21535,30789.5,39968,759102,811625.5,867659
2020-11-28,2020-05-10,29893.575867645384,31955.99161416413,34191.11723527774,804510.5985021696,844767.8234792787,886526.917993418,21769,31447.5,40574,788750,844558,901068
2020-11-28,2020-05-11,30494.476223733025,32708.849394029323,35132.585931818874,836822.0943143917,877473.8016553868,921028.228676397,21657,32342,41078,821666,877255.5,937430
2020-11-28,2020-05-12,31079.46145679714,33491.95060028751,36069.03126893065,869792.1590957558,910916.592303077,956491.3062390113,22785,32997.5,42581,847970,910757.5,968506
2020-11-28,2020-05-13,31515.988703390518,34284.47450546699,36937.35371430171,902905.1630650153,945146.7036427795,992163.8229988244,24150,33633.5,44507,876176,945175,999980
2020-11-28,2020-05-14,32181.862716475498,35091.67906903404,38058.38797463958,936521.9748681256,980147.4148453096,1029122.7123139795,24241,34269,45151,913665,980017,1041680
2020-11-28,2020-05-15,32787.94763510292,35925.666808484064,39215.36852739679,967138.600976718,1016383.3580007241,1063541.6814777923,23906,35272.5,45748,953460,1016225.5,1084493
2020-11-28,2020-05-16,33441.34342423466,36614.51954235822,39817.77124648834,1002499.4166120074,1052962.493394961,1102424.5201210934,23746,35645,46087,987001,1052365.5,1123167
2020-11-28,2020-05-17,34337.04048158221,37110.18906559312,39986.52147045288,1037663.5189597153,1090044.9596358882,1141055.6925742456,24402,36306,46590,1021326,1089181,1162259
2020-11-28,2020-05-18,35095.671341477384,37671.698440368855,40238.504765320606,1072068.5782190189,1127922.4831862529,1179010.2358484124,25143,36950.5,47752,1056287,1126618.5,1200393
2020-11-28,2020-05-19,35826.76509507946,38280.73714289748,40611.98620466341,1110304.435483732,1166087.0484564616,1220472.6079428897,25396,37639,48073,1091545,1165016.5,1239917
2020-11-28,2020-05-20,36611.40708310696,38883.31497478126,41206.306806359404,1146582.9900507617,1204959.103474787,1260111.1737496587,25311,38198,48266,1129024,1204096,1280724
2020-11-28,2020-05-21,37191.652595521766,39522.11696154149,41643.65795271083,1182164.7787402584,1244709.158197423,1298602.1875610773,28225,38895,51788,1169605,1244211,1325607
2020-11-28,2020-05-22,38086.763293271404,40172.714313650315,42509.98445844025,1224966.1567070866,1284818.342677786,1343991.768993176,27150,39300.5,51319,1207050,1284499.5,1368712
2020-11-28,2020-05-23,38745.014778607336,40842.3402149278,43231.97484143814,1263559.1854708374,1325597.9100080538,1384782.4051829593,27903,40250.5,51653,1243490,1324916.5,1408606
2020-11-28,2020-05-24,39320.5933950319,41534.060668791615,43964.15559858142,1303793.4473487744,1367358.798658647,1427606.6391168844,28384,40984,52848,1281368,1367690,1450378
2020-11-28,2020-05-25,40097.14876874206,42248.779290628,44950.15846643814,1341647.7819521502,1409617.8980949062,1468450.5362239045,28367,41866.5,53532,1319564,1409721,1491293
2020-11-28,2020-05-26,40356.604970162174,42978.744616189426,45522.48574057883,1384863.4241142294,1452538.6841918468,1514428.7856854503,30006,42445,55059,1362240,1452765.5,1538386
2020-11-28,2020-05-27,40967.074628461414,43729.45456042659,46474.12003480665,1427402.964234583,1496198.336216871,1559704.9166383438,28766,42959.5,54118,1409955,1496092.5,1590163
2020-11-28,2020-05-28,41602.61088731067,44488.53384074527,47532.0015663667,1467837.8951834813,1540427.3887841091,1602543.6166512654,31086,43700,56995,1448453,1540541.5,1631262
2020-11-28,2020-05-29,41949.54416115755,45227.77667687825,48335.29114763416,1511938.3152860953,1585391.4940575557,1649087.8975884663,29897,44365.5,56323,1488977,1585656.5,1676791
2020-11-28,2020-05-30,42250.64217063656,45979.86288940502,49163.969057239905,1556804.2557938353,1631475.8754895185,1697318.9340914262,30726,44856,57775,1529747,1631897,1721456
2020-11-28,2020-05-31,42544.676373996066,46380.88124023474,49530.744074705,1608308.5731757374,1678209.1893745074,1751993.9066960693,31325,45284,59256,1579884,1677840,1776841
2020-11-28,2020-06-01,42879.0905404012,46323.804310969885,49330.22612287106,1651769.5747331528,1724602.6503274948,1798430.958767153,32125,45487.5,59574,1629897,1723396,1830208
2020-11-28,2020-06-02,43253.50253043824,46360.3461945094,49301.4506462603,1698737.4351245982,1771083.446751914,1848808.6709158437,32406,45164.5,59887,1664956,1769840.5,1868393
2020-11-28,2020-06-03,43519.52712948434,46478.45167352378,49275.50201401882,1745055.6658985259,1817931.8930727623,1898550.0199978387,31067,45766,58564,1712561,1816983.5,1920431
2020-11-28,2020-06-04,43781.66423682256,46638.8397563709,49326.43263668899,1789176.13246811,1864363.9651740775,1946323.7819699103,30477,45746.5,59119,1754582,1863595.5,1967934
2020-11-28,2020-06-05,44027.39445940133,46836.95475012321,49401.95921395859,1834265.695810019,1910968.5535491928,1995141.4860927458,32083,46176,59715,1802325,1910431,2020154
2020-11-28,2020-06-06,44489.3027656542,47048.6476083732,49713.77700094829,1879664.2974039612,1957956.461102496,2044211.0304234803,31235,46708.5,58989,1838566,1958688,2059682
2020-11-28,2020-06-07,44774.10637432411,47266.54204730994,49868.111798228536,1923097.0022381684,2005318.3854928664,2091567.845750527,31375,46449,58977,1897638,2005532,2125745
2020-11-28,2020-06-08,45071.851547534425,47494.56972470184,50054.93201173832,1966886.2859905628,2052962.8668850353,2138929.455979779,32111,46596,59487,1934358,2052318.5,2165519
2020-11-28,2020-06-09,45403.0349202875,47736.707528865445,50306.86223569901,2015816.1878274428,2100711.8713036496,2191802.569097139,31586,47101.5,59879,1979820,2101068,2216477
2020-11-28,2020-06-10,45753.81732385691,47994.49684543433,50576.210596858866,2061670.9797127119,2148533.9015333243,2240786.6318807183,32751,47140.5,61702,2034628,2148976.5,2275742
2020-11-28,2020-06-11,45931.58371004309,48238.08231217702,50686.13909578036,2109180.177672677,2196755.717151039,2292191.188830201,32582,47561.5,60537,2072796,2197501,2318210
2020-11-28,2020-06-12,46214.89973806293,48497.375263821305,50897.05843993308,2154981.7354056076,2244909.551169608,2341580.5711927996,32101,47831,60309,2111081,2245453,2359914
2020-11-28,2020-06-13,46453.900845984535,48756.44034257709,51073.7706898685,2201880.152676204,2293631.7417991813,2392374.025695045,33808,48070.5,63142,2169588,2295107.5,2422369
2020-11-28,2020-06-14,46675.23956670818,48997.70545074161,51250.92780930507,2249200.351344695,2342726.0370201697,2443065.991563385,34716,48046.5,62634,2212760,2342966,2467397
2020-11-28,2020-06-15,47025.600363967955,49261.27716207747,51551.77048924667,2291942.1044987263,2392058.3929359913,2488968.979900722,33918,47927,62211,2254128,2393334.5,2511453
2020-11-28,2020-06-16,47224.07419248153,49515.809291995865,51727.89171410686,2341771.791296088,2441190.891790987,2542523.615721653,32771,48540,61566,2303250,2443717,2566108
2020-11-28,2020-06-17,47490.50108221186,49770.50692466032,51974.72186802729,2389222.9826825955,2491245.3428156776,2593479.8776360317,34082,49008,63295,2353554,2493001,2621655
2020-11-28,2020-06-18,47879.31327094154,50036.898076646816,52358.916725457806,2439376.570081958,2541193.172050735,2646807.0099297403,33461,48974,62615,2406794,2542905.5,2679780
2020-11-28,2020-06-19,48096.340310973275,50297.06697320242,52582.25581706016,2487999.3757084226,2591486.906445604,2698660.7204367872,33757,49542.5,62931,2452709,2592615.5,2730332
2020-11-28,2020-06-20,48367.24403029777,50536.11520247815,52885.778205660055,2533955.814769839,2641913.5386879775,2748171.1326896655,33227,49728.5,63725,2502476,2643402,2783354
2020-11-28,2020-06-21,48505.57496128341,50780.34033194163,53029.484676367756,2579291.6091077263,2692667.0026509017,2796417.2877706434,35054,50132.5,64216,2551903,2694462.5,2836304
2020-11-28,2020-06-22,48797.250045852415,51035.0141656243,53340.520511521274,2629198.201764165,2743598.435068838,2849523.0000017295,35696,49746.5,64887,2600565,2746354.5,2889976
2020-11-28,2020-06-23,49047.5821857724,51284.45182578202,53631.91017265535,2684561.804527913,2794871.376162274,2907748.09872798,34714,50478,64698,2659973,2796928,2952145
2020-11-28,2020-06-24,49365.023797547175,51534.85421417073,54005.88736562682,2736413.4871976166,2846465.322444535,2962696.577895209,34981,50484,64949,2697867,2848407,2992117
