fecha,casos_acumulados,estimado,tipo,modelo,fecha_estimacion
2020-04-25,261927,CoronaMex,simulacion,m1,2020-05-05
2020-04-26,275939,CoronaMex,simulacion,m1,2020-05-05
2020-04-27,290378,CoronaMex,simulacion,m1,2020-05-05
2020-04-28,305258,CoronaMex,simulacion,m1,2020-05-05
2020-04-29,320590,CoronaMex,simulacion,m1,2020-05-05
2020-04-30,336389,CoronaMex,simulacion,m1,2020-05-05
2020-05-01,352669,CoronaMex,simulacion,m1,2020-05-05
2020-05-02,369443,CoronaMex,simulacion,m1,2020-05-05
2020-05-03,386726,CoronaMex,simulacion,m1,2020-05-05
2020-05-04,404533,CoronaMex,simulacion,m1,2020-05-05
2020-05-05,422879,CoronaMex,simulacion,m1,2020-05-05
2020-02-15,19,CoronaMex,simulacion,m2,2020-05-05
2020-02-16,21,CoronaMex,simulacion,m2,2020-05-05
2020-02-17,26,CoronaMex,simulacion,m2,2020-05-05
2020-02-18,33,CoronaMex,simulacion,m2,2020-05-05
2020-02-19,42,CoronaMex,simulacion,m2,2020-05-05
2020-02-20,53,CoronaMex,simulacion,m2,2020-05-05
2020-02-21,66,CoronaMex,simulacion,m2,2020-05-05
2020-02-22,82,CoronaMex,simulacion,m2,2020-05-05
2020-02-23,102,CoronaMex,simulacion,m2,2020-05-05
2020-02-24,126,CoronaMex,simulacion,m2,2020-05-05
2020-02-25,155,CoronaMex,simulacion,m2,2020-05-05
2020-02-26,190,CoronaMex,simulacion,m2,2020-05-05
2020-02-27,232,CoronaMex,simulacion,m2,2020-05-05
2020-02-28,283,CoronaMex,simulacion,m2,2020-05-05
2020-02-29,344,CoronaMex,simulacion,m2,2020-05-05
2020-03-01,419,CoronaMex,simulacion,m2,2020-05-05
2020-03-02,509,CoronaMex,simulacion,m2,2020-05-05
2020-03-03,620,CoronaMex,simulacion,m2,2020-05-05
2020-03-04,757,CoronaMex,simulacion,m2,2020-05-05
2020-03-05,927,CoronaMex,simulacion,m2,2020-05-05
2020-03-06,1137,CoronaMex,simulacion,m2,2020-05-05
2020-03-07,1397,CoronaMex,simulacion,m2,2020-05-05
2020-03-08,1714,CoronaMex,simulacion,m2,2020-05-05
2020-03-09,2104,CoronaMex,simulacion,m2,2020-05-05
2020-03-10,2583,CoronaMex,simulacion,m2,2020-05-05
2020-03-11,3173,CoronaMex,simulacion,m2,2020-05-05
2020-03-12,3880,CoronaMex,simulacion,m2,2020-05-05
2020-03-13,4677,CoronaMex,simulacion,m2,2020-05-05
2020-03-14,5543,CoronaMex,simulacion,m2,2020-05-05
2020-03-15,6476,CoronaMex,simulacion,m2,2020-05-05
2020-03-16,7485,CoronaMex,simulacion,m2,2020-05-05
2020-03-17,8584,CoronaMex,simulacion,m2,2020-05-05
2020-03-18,9781,CoronaMex,simulacion,m2,2020-05-05
2020-03-19,11085,CoronaMex,simulacion,m2,2020-05-05
2020-03-20,12505,CoronaMex,simulacion,m2,2020-05-05
2020-03-21,14052,CoronaMex,simulacion,m2,2020-05-05
2020-03-22,15733,CoronaMex,simulacion,m2,2020-05-05
2020-03-23,17560,CoronaMex,simulacion,m2,2020-05-05
2020-03-24,19545,CoronaMex,simulacion,m2,2020-05-05
2020-03-25,21701,CoronaMex,simulacion,m2,2020-05-05
2020-03-26,24043,CoronaMex,simulacion,m2,2020-05-05
2020-03-27,26588,CoronaMex,simulacion,m2,2020-05-05
2020-03-28,29352,CoronaMex,simulacion,m2,2020-05-05
2020-03-29,32355,CoronaMex,simulacion,m2,2020-05-05
2020-03-30,35618,CoronaMex,simulacion,m2,2020-05-05
2020-03-31,39162,CoronaMex,simulacion,m2,2020-05-05
2020-04-01,43011,CoronaMex,simulacion,m2,2020-05-05
2020-04-02,47184,CoronaMex,simulacion,m2,2020-05-05
